model,imgsz,format,path,status,notes,size_mb,weights_path
yolov8n,320,onnx,/content/road_damage_framework/runs/yolov8n_320/weights/best.onnx,ok,,11.55363941192627,/content/road_damage_framework/runs/yolov8n_320/weights/best.pt
yolov8n,320,onnx_dynamic_int8,/content/road_damage_framework/exports/yolov8n_320_int8_dynamic.onnx,ok,Quantização dinâmica ONNXRuntime.,3.069890022277832,/content/road_damage_framework/runs/yolov8n_320/weights/best.pt
yolov8n,320,tflite,/content/road_damage_framework/runs/yolov8n_320/weights/best_saved_model/best_float32.tflite,ok,Exportação TFLite via Ultralytics.,11.570226669311523,/content/road_damage_framework/runs/yolov8n_320/weights/best.pt
yolov8n,320,tflite_int8,/content/road_damage_framework/runs/yolov8n_320/weights/best_saved_model/best_int8.tflite,ok,Quantização INT8 via Ultralytics usando data.yaml para calibração.,3.0508508682250977,/content/road_damage_framework/runs/yolov8n_320/weights/best.pt
yolov8n,320,ncnn,/content/road_damage_framework/runs/yolov8n_320/weights/best_ncnn_model,ok,Exportação NCNN via Ultralytics.,,/content/road_damage_framework/runs/yolov8n_320/weights/best.pt
mobilenetv3_ssdlite,320,onnx,/content/road_damage_framework/exports/mobilenetv3_ssdlite_320.onnx,error,"ModuleNotFoundError(""No module named 'onnxscript'"")",,/content/road_damage_framework/runs/mobilenetv3_ssdlite_320/best.pt
mobilenetv3_ssdlite,320,torchscript,/content/road_damage_framework/exports/mobilenetv3_ssdlite_320_torchscript.pt,error,"RuntimeError('Only tensors, lists, tuples of tensors, or dictionary of tensors can be output from traced functions')",,/content/road_damage_framework/runs/mobilenetv3_ssdlite_320/best.pt
mobilenetv3_ssdlite,320,dynamic_int8_pt,/content/road_damage_framework/exports/mobilenetv3_ssdlite_320_dynamic_int8.pt,ok,Quantização dinâmica PyTorch.,14.665802955627441,/content/road_damage_framework/runs/mobilenetv3_ssdlite_320/best.pt
mobilenetv3_ssdlite,320,tflite_from_onnx,,error,"CalledProcessError(1, ['onnx2tf', '-i', '/content/road_damage_framework/exports/mobilenetv3_ssdlite_320.onnx', '-o', '/content/road_damage_framework/exports/mobilenetv3_ssdlite_320_tflite_from_onnx'])",,/content/road_damage_framework/runs/mobilenetv3_ssdlite_320/best.pt
mobilenetv3_ssdlite,320,ncnn_from_pnnx,,error,"CalledProcessError(245, ['pnnx', '/content/road_damage_framework/exports/mobilenetv3_ssdlite_320.onnx', 'inputshape=[1,3,320,320]'])",,/content/road_damage_framework/runs/mobilenetv3_ssdlite_320/best.pt
efficientdet_lite0,320,onnx,/content/road_damage_framework/exports/efficientdet_lite0_320.onnx,error,"ModuleNotFoundError(""No module named 'onnxscript'"")",,/content/road_damage_framework/runs/efficientdet_lite0_320/efficientdet_lite0_colab.pt
efficientdet_lite0,320,torchscript,/content/road_damage_framework/exports/efficientdet_lite0_320_torchscript.pt,ok,,12.240686416625977,/content/road_damage_framework/runs/efficientdet_lite0_320/efficientdet_lite0_colab.pt
efficientdet_lite0,320,dynamic_int8_pt,/content/road_damage_framework/exports/efficientdet_lite0_320_dynamic_int8.pt,ok,Quantização dinâmica PyTorch.,11.81253719329834,/content/road_damage_framework/runs/efficientdet_lite0_320/efficientdet_lite0_colab.pt
efficientdet_lite0,320,tflite_from_onnx,,error,"CalledProcessError(1, ['onnx2tf', '-i', '/content/road_damage_framework/exports/efficientdet_lite0_320.onnx', '-o', '/content/road_damage_framework/exports/efficientdet_lite0_320_tflite_from_onnx'])",,/content/road_damage_framework/runs/efficientdet_lite0_320/efficientdet_lite0_colab.pt
efficientdet_lite0,320,ncnn_from_pnnx,,error,"CalledProcessError(245, ['pnnx', '/content/road_damage_framework/exports/efficientdet_lite0_320.onnx', 'inputshape=[1,3,320,320]'])",,/content/road_damage_framework/runs/efficientdet_lite0_320/efficientdet_lite0_colab.pt
nanodet_plus,320,onnx,/content/road_damage_framework/exports/nanodet_plus_320.onnx,error,"ModuleNotFoundError(""No module named 'onnxscript'"")",,/content/road_damage_framework/runs/nanodet_plus_320/nanodet_plus_lite_colab.pt
nanodet_plus,320,torchscript,/content/road_damage_framework/exports/nanodet_plus_320_torchscript.pt,ok,,0.8223037719726562,/content/road_damage_framework/runs/nanodet_plus_320/nanodet_plus_lite_colab.pt
nanodet_plus,320,dynamic_int8_pt,/content/road_damage_framework/exports/nanodet_plus_320_dynamic_int8.pt,ok,Quantização dinâmica PyTorch.,0.702540397644043,/content/road_damage_framework/runs/nanodet_plus_320/nanodet_plus_lite_colab.pt
nanodet_plus,320,tflite_from_onnx,,error,"CalledProcessError(1, ['onnx2tf', '-i', '/content/road_damage_framework/exports/nanodet_plus_320.onnx', '-o', '/content/road_damage_framework/exports/nanodet_plus_320_tflite_from_onnx'])",,/content/road_damage_framework/runs/nanodet_plus_320/nanodet_plus_lite_colab.pt
nanodet_plus,320,ncnn_from_pnnx,,error,"CalledProcessError(245, ['pnnx', '/content/road_damage_framework/exports/nanodet_plus_320.onnx', 'inputshape=[1,3,320,320]'])",,/content/road_damage_framework/runs/nanodet_plus_320/nanodet_plus_lite_colab.pt
